d_val	e_val	j_val	BGB_DEC_init_LnL	BD_LnL	classe_DEC_ML	classe_DEC_ML_minus_BD
d_0.05_e_1_j_0	0.05	1	0	-9.68792559346348	-3.2163953243245	-18.0532284085787	-9.6115251634258
d_0.05_e_1_j_0.01	0.05	1	0.01	-9.69558154481552	-3.2163953243245	-18.053185370596	-9.63138917317108
d_0.05_e_1_j_0.05	0.05	1	0.05	-9.7372553204946	-3.2163953243245	-18.0627390888943	-9.7112196772702
d_0.05_e_1_j_0.1	0.05	1	0.1	-9.80613934029483	-3.2163953243245	-18.0915811576179	-9.81123201154068
d_0.05_e_1_j_0.3	0.05	1	0.3	-10.1498129665545	-3.2163953243245	-18.3063974924662	-10.2028803889974
d_0.05_e_1_j_1	0.05	1	1	-11.2815454642677	-3.2163953243245	-19.3344747963668	-11.391101355053
d_0.05_e_1_j_2.99	0.05	1	2.99	-12.7117079898802	-3.2163953243245	-21.6871476291092	-13.4302244537817
d_0.05_e_3_j_0	0.05	3	0	-27.3966275975128	-3.2163953243245	-35.7495332812224	-27.306740198555
d_0.05_e_3_j_0.01	0.05	3	0.01	-27.4091077826323	-3.2163953243245	-35.753438253414	-27.3258875027084
d_0.05_e_3_j_0.05	0.05	3	0.05	-27.465981202457	-3.2163953243245	-35.7763010113439	-27.4030694229576
d_0.05_e_3_j_0.1	0.05	3	0.1	-27.5474203479279	-3.2163953243245	-35.8175722203075	-27.5001770439234
d_0.05_e_3_j_0.3	0.05	3	0.3	-27.9078583767304	-3.2163953243245	-36.0574406710581	-27.8829094326832
d_0.05_e_3_j_1	0.05	3	1	-28.976134457298	-3.2163953243245	-37.0746885657125	-29.0435863132891
d_0.05_e_3_j_2.99	0.05	3	2.99	-30.1146578602589	-3.2163953243245	-39.0904630827027	-30.8295790738638
d_0.05_e_5_j_0	0.05	5	0	-45.3302522921215	-3.2163953243245	-53.6805429906825	-45.249673021626
d_0.05_e_5_j_0.01	0.05	5	0.01	-45.3434779679863	-3.2163953243245	-53.684962536733	-45.2684740817097
d_0.05_e_5_j_0.05	0.05	5	0.05	-45.4026606997665	-3.2163953243245	-53.7095546836492	-45.3443530345328
d_0.05_e_5_j_0.1	0.05	5	0.1	-45.4858947467141	-3.2163953243245	-53.7524152623234	-45.4399870638833
d_0.05_e_5_j_0.3	0.05	5	0.3	-45.8474516066064	-3.2163953243245	-53.9950259483902	-45.8178426348252
d_0.05_e_5_j_1	0.05	5	1	-46.8944985893846	-3.2163953243245	-55.0045683031844	-46.9629004582916
d_0.05_e_5_j_2.99	0.05	5	2.99	-47.9620186844561	-3.2163953243245	-56.9361674251589	-48.6701420095755
d_0.1_e_0_j_0	0.1	0	0	-2.69175951136983	-3.2163953243245	-11.2834331460234	-2.69175948126555
d_0.1_e_0_j_0.01	0.1	0	0.01	-2.61992520369236	-3.2163953243245	-11.1919267193139	-2.71182375523216
d_0.1_e_0_j_0.05	0.1	0	0.05	-2.44472586165396	-3.2163953243245	-10.944091852519	-2.79315143470682
d_0.1_e_0_j_0.1	0.1	0	0.1	-2.36053215184452	-3.2163953243245	-10.7807772098144	-2.89643536060851
d_0.1_e_0_j_0.3	0.1	0	0.3	-2.48963539049962	-3.2163953243245	-10.6813089342279	-3.31341070109218
d_0.1_e_0_j_1	0.1	0	1	-3.75960011105766	-3.2163953243245	-11.6012737210936	-4.71434814857422
d_0.1_e_0_j_2.99	0.1	0	2.99	-15.7318475266799	-3.2163953243245	-23.3240782592902	-16.6778371126281
d_0.1_e_0.01_j_0	0.1	0.01	0	-2.68642716996371	-3.2163953243245	-11.2371796830827	-2.70956841887622
d_0.1_e_0.01_j_0.01	0.1	0.01	0.01	-2.62342017561911	-3.2163953243245	-11.1594118963043	-2.72969292605108
d_0.1_e_0.01_j_0.05	0.1	0.01	0.05	-2.46934952990139	-3.2163953243245	-10.9449099674954	-2.81118607778647
d_0.1_e_0.01_j_0.1	0.1	0.01	0.1	-2.39777363373157	-3.2163953243245	-10.8020035346017	-2.91452814214428
d_0.1_e_0.01_j_0.3	0.1	0.01	0.3	-2.54199546919127	-3.2163953243245	-10.7292725356563	-3.33049960159869
d_0.1_e_0.01_j_1	0.1	0.01	1	-3.8050936207725	-3.2163953243245	-11.6584202993313	-4.71599799982704
d_0.1_e_0.01_j_2.99	0.1	0.01	2.99	-8.12259351253177	-3.2163953243245	-17.0961912678926	-9.33429169930921
d_0.1_e_0.05_j_0	0.1	0.05	0	-2.74013705707849	-3.2163953243245	-11.1914008848964	-2.81945063268473
d_0.1_e_0.05_j_0.01	0.1	0.05	0.01	-2.70070868658342	-3.2163953243245	-11.1456823458188	-2.83969022299018
d_0.1_e_0.05_j_0.05	0.1	0.05	0.05	-2.60631871093785	-3.2163953243245	-11.0155298588829	-2.92141616788061
d_0.1_e_0.05_j_0.1	0.1	0.05	0.1	-2.57274140052029	-3.2163953243245	-10.9295377175542	-3.024598104331
d_0.1_e_0.05_j_0.3	0.1	0.05	0.3	-2.76469288918842	-3.2163953243245	-10.938436713718	-3.43612241123626
d_0.1_e_0.05_j_1	0.1	0.05	1	-4.00091657254793	-3.2163953243245	-11.8960660290725	-4.76897344694209
